name,description,latitude,longitude
Ferry St. Bridge,,45.19102,-93.395709
Gooseberry Falls Cliffs,May be sketchy depending on water level.,47.14819,-91.476205
Temperance River Cliff,A nice 25&#39; jump into the river.,47.556097,-90.873628
Makwa Lake Cliffs,,48.004108,-91.06091
Temperance River Cliffs,40&#39; jump with many other lower options.,47.553479,-90.873553
Vermillion Falls River,10 -15 ft cliffs  but you can jump or rope swing from the trees above. There are higher cliffs nearby but the water may be too shallow.,44.7258338,-92.8414679
Lake Byllesby Cliffs,Good 40 footer and 50 footer. Jumping can lead to possible harassment and or a ticket by local authorities but is definitely worth the risk. Park at the south lot and walk west on the trail along the lake.,44.508146,-92.950374
Saint Croix Cliffs,"Beware of shallow water, running start will be needed on this cliff if the water is too low. Rock outcropping 6 feet under the surface.",45.3729019,-92.6799774
"Hatchet Creek Falls
",,40.873319,-121.893222
"Emigrant Gap/Lions Slide 
",,39.266602,-120.662081
"Beale/Fairy Falls
",,39.1151281,-121.242671
"Gods Bath Clavey River
",,37.9914362,-120.0544256
"Happy Valley/Camp Creek
",,38.658144,-120.6624126
"Hunt Hot Spring
",,41.0339571,-121.9316769
"Indian Springs CG/Yuba Jump Spots
",,39.3310693,-120.5754554
"Potem Falls
",,40.8392605,-122.0282257
"Rainbow Falls
",,37.8215651,-120.012567
"Nick's Ropeswing
",,38.6582027,-120.6822395
"Traverse Falls
",,38.831317,-120.7905471
"Emerald Pools
",,39.318811,-120.6579441
"Jolly Boys Mine
",,39.3536133,-120.7106066
"Seven Falls
",,39.7041409,-121.2436152
The Flumes,Park at Feather River Hospital,39.7461836,-121.5626907
"Brown/Bear Hole
",,39.7722627,-121.7633629
"McCloud Falls
",,41.2432073,-122.0089674
"Camp 9 Cliff Jumping
",,38.1433494,-120.3797293
"Candy Rock/Blue Streak
",,38.2013621,-120.3240252
"Wildwood Falls
",,39.2330177,-121.2240243
